"category","id","name","price","stock","ean","sku","brand","url","image"
"Fürdőkönyv","15322394001794","123 fürdőkönyv babáknak","3190.00","5","","CHICZ-1401","CHICCO TOYS","https://toysland-9695.myshopify.com/products/vizallo-furdokonyv-babaknak","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16877_44f73db4-afcc-489c-804f-0ecb772002b0.jpg?v=1776797842"
"Bébijáró és aktivitásközpont","15322394296706","4 az 1-ben aktivitásközpont babáknak","28950.00","2","","CHICZ-262","CHICCO TOYS","https://toysland-9695.myshopify.com/products/4-az-1-ben-keszsegfejleszto-jatszoasztal","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-17056_8567d551-d37a-44ff-bb34-858bd23486df.jpg?v=1776797852"
"Akasztós babajáték","15322392527234","Akasztható kormányos fejlesztő babajáték","9270.00","131","","TOYZ-9016","TOYZ","https://toysland-9695.myshopify.com/products/interaktiv-keszsegfejleszto-baba-jatek-pendant-with-steering-wheel","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/foto_add-46248_8504baa6-5bb0-4daf-a06e-502c3d1ac023.jpg?v=1776797792"
"Szenzoros babakönyv","15325501096322","Akuku állatvilág textil szenzoros babakönyv","3750.00","28","5907644004812","AKUKU-6953","AKUKU","https://toysland-9695.myshopify.com/products/akuku-allatvilag-textil-szenzoros-babakonyv-akuku-6953","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-13689.jpg?v=1777105152"
"Fürdőkönyv","15325500932482","Akuku betűs fürdőkönyv sípolóval babáknak","1050.00","24","","AKUKU-6951","AKUKU","https://toysland-9695.myshopify.com/products/akuku-betus-furdokonyv-sipoloval-babaknak-akuku-6951","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-12452.jpg?v=1777105144"
"Baba rágóka","15325500309890","Akuku elefánt csörgős rágóka babáknak","1650.00","24","5907644004508","AKUKU-1400","AKUKU","https://toysland-9695.myshopify.com/products/akuku-elefant-csorgos-ragoka-babaknak-akuku-1400","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-10773.jpg?v=1777105119"
"Baba csörgő","15325500768642","Akuku fekete-fehér baba csörgő","1390.00","15","5907644004676","AKUKU-1402","AKUKU","https://toysland-9695.myshopify.com/products/akuku-fekete-feher-baba-csorgo-akuku-1402","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-11920.jpg?v=1777105138"
"Akasztós babajáték","15325500801410","Akuku fekete-fehér babakocsi csörgő","1790.00","61","5907644004683","AKUKU-687","AKUKU","https://toysland-9695.myshopify.com/products/akuku-fekete-feher-babakocsi-csorgo-akuku-687","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-11922.jpg?v=1777105139"
"Akasztós babajáték","15322390397314","Akuku fekete-fehér maci akasztós plüss babajáték","2910.00","34","","AKUKU-1403","AKUKU","https://toysland-9695.myshopify.com/products/felakaszthato-pluss-jatek-babakocsira-bear_black-feher","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-11919_ca9a3631-8cbc-4bb1-816d-0c6a813b5b98.jpg?v=1776797736"
"Játszószőnyeg","15325501161858","Akuku felfújható vizes játszószőnyeg babáknak","4150.00","90","","AKUKU-902","AKUKU","https://toysland-9695.myshopify.com/products/akuku-felfujhato-vizes-jatszoszonyeg-babaknak-akuku-902","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-13867.jpg?v=1777105155"
"Játszószőnyeg","15325500965250","Akuku felfújható vizes játszószőnyeg babáknak, 67 x 49 cm","4150.00","153","5907644004867","AKUKU-901","AKUKU","https://toysland-9695.myshopify.com/products/akuku-felfujhato-vizes-jatszoszonyeg-babaknak-67-x-49-cm-akuku-901","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-12453.jpg?v=1777105146"
"Szenzoros babakönyv","15325502013826","Akuku First Book puha könyv sípolóval babáknak","1050.00","43","5907644004768","AKUKU-69500","AKUKU","https://toysland-9695.myshopify.com/products/akuku-first-book-puha-konyv-sipoloval-babaknak-akuku-69500","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-14739.jpg?v=1777105194"
"Fürdőkönyv","15325501817218","Akuku First Step puha fürdőkönyv sípolóval","1050.00","33","5907644004775","AKUKU-6954","AKUKU","https://toysland-9695.myshopify.com/products/akuku-first-step-puha-furdokonyv-sipoloval-akuku-6954","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-14684.jpg?v=1777105182"
"Fürdőjáték","15325500703106","Akuku kacsás fürdőjáték szett babáknak, 4 db","1690.00","56","5907644001620","AKUKU-6900","AKUKU","https://toysland-9695.myshopify.com/products/akuku-kacsas-furdojatek-szett-babaknak-4-db-akuku-6900","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-11647.jpg?v=1777105135"
"Baba csörgő","15325501784450","Akuku krokodil plüss csörgő sípoló babajáték","2250.00","6","5907644006441","AKUKU-140328","AKUKU","https://toysland-9695.myshopify.com/products/akuku-krokodil-pluss-csorgo-sipolo-babajatek-akuku-140328","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/foto_add-41134.jpg?v=1777105180"
"Baba rágóka","15322394722690","Akuku macis szilikon baba rágóka","1240.00","0","","AKUKU-6553","AKUKU","https://toysland-9695.myshopify.com/products/szilikon-ragoka-babaknak-a0460-silicone-teether-maci","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-17569.jpg?v=1776797866"
